Month,#Passengers
2012-04,112
2012-05,118
2012-06,132
2012-07,129
2012-08,121
2012-09,135
2012-10,148
2012-11,148
2012-12,136
2013-01,119
2013-02,104
2013-03,118
2013-04,115
2013-05,126
2013-06,141
2013-07,135
2013-08,125
2013-09,149
2013-10,170
2013-11,170
2013-12,158
2014-01,133
2014-02,114
2014-03,140
2014-04,145
2014-05,150
2014-06,178
2014-07,163
2014-08,172
2014-09,178
2014-10,199
2014-11,199
2014-12,184
2015-01,162
2015-02,146
2015-03,166
2015-04,171
2015-05,180
2015-06,193
2015-07,181
2015-08,183
2015-09,218
2015-10,230
2015-11,242
2015-12,209
2016-01,191
2016-02,172
2016-03,194
2016-04,196
2016-05,196
2016-06,236
2016-07,235
2016-08,229
2016-09,243
2016-10,264
2016-11,272
2016-12,237
2017-01,211
2017-02,180
2017-03,201
2017-04,204
2017-05,188
2017-06,235
2017-07,227
2017-08,234
2017-09,264
2017-10,302
2017-11,293
2017-12,259
2018-01,229
2018-02,203
2018-03,229
2018-04,242
2018-05,233
2018-06,267
2018-07,269
2018-08,270
2018-09,315
2018-10,364
2018-11,347
2018-12,312
2019-01,274
2019-02,237
2019-03,278
2019-04,284
2019-05,277
2019-06,317
2019-07,313
2019-08,318
2019-09,374
2019-10,413
2019-11,405
2019-12,355
2020-01,306
2020-02,271
2020-03,306
2020-04,315
2020-05,301
2020-06,356
2020-07,348
2020-08,355
2020-09,422
2020-10,465
2020-11,467
2020-12,404
2021-01,347
2021-02,305
2021-03,336
2021-04,340
2021-05,318
2021-06,362
2021-07,348
2021-08,363
2021-09,435
2021-10,491
2021-11,505
2021-12,404
2022-01,359
2022-02,310
2022-03,337
2022-04,360
2022-05,342
2022-06,406
2022-07,396
2022-08,420
2022-09,472
2022-10,548
2022-11,559
2022-12,463
2023-01,407
2023-02,362
2023-03,405
2023-04,417
2023-05,391
2023-06,419
2023-07,461
2023-08,472
2023-09,535
2023-10,622
2023-11,606
2023-12,508
2024-01,461
2024-02,390
2024-03,432
